DATATYPE	CNT	 TIME	 LPCX	 LPCY	 LPD	 LPS	 LPV	 RPCX	 RPCY	 RPD	 RPS	 RPV	 LEYEX	 LEYEY	 LEYEZ	 LPUPILD	 LPUPILV	 REYEX	 REYEY	 REYEZ	 RPUPILD	 RPUPILV	 BKID	 BKDUR	 BKPMIN	 USER	
SMP	106853	1698.57153	0.00000	0.00000	0.00000	1.00000	0	0.00000	0.00000	0.00000	1.00000	0	0.00000	0.00000	0.00000	0.00000	0	0.00000	0.00000	0.00000	0.00000	0	0	0.00000	0	START_RECORDING	
SMP	106854	1698.58752	0.00000	0.00000	0.00000	1.00000	0	0.00000	0.00000	0.00000	1.00000	0	0.00000	0.00000	0.00000	0.00000	0	0.00000	0.00000	0.00000	0.00000	0	0	0.00000	0	START_RECORDING	
SMP	106855	1698.60364	0.00000	0.00000	0.00000	1.00000	0	0.00000	0.00000	0.00000	1.00000	0	0.00000	0.00000	0.00000	0.00000	0	0.00000	0.00000	0.00000	0.00000	0	0	0.00000	0	START_RECORDING	
SMP	106856	1698.61963	0.00000	0.00000	0.00000	1.00000	0	0.00000	0.00000	0.00000	1.00000	0	0.00000	0.00000	0.00000	0.00000	0	0.00000	0.00000	0.00000	0.00000	0	0	0.00000	0	START_RECORDING	
SMP	106857	1698.63562	0.00000	0.00000	0.00000	1.00000	0	0.00000	0.00000	0.00000	1.00000	0	0.00000	0.00000	0.00000	0.00000	0	0.00000	0.00000	0.00000	0.00000	0	0	0.00000	0	START_RECORDING	
SMP	106858	1698.65161	0.00000	0.00000	0.00000	1.00000	0	0.00000	0.00000	0.00000	1.00000	0	0.00000	0.00000	0.00000	0.00000	0	0.00000	0.00000	0.00000	0.00000	0	0	0.00000	0	START_RECORDING	
SMP	106859	1698.66760	0.00000	0.00000	0.00000	1.00000	0	0.00000	0.00000	0.00000	1.00000	0	0.00000	0.00000	0.00000	0.00000	0	0.00000	0.00000	0.00000	0.00000	0	0	0.00000	0	START_RECORDING	
SMP	106860	1698.68359	0.00000	0.00000	0.00000	1.00000	0	0.00000	0.00000	0.00000	1.00000	0	0.00000	0.00000	0.00000	0.00000	0	0.00000	0.00000	0.00000	0.00000	0	0	0.00000	0	START_RECORDING	
MSG	1	1698.6916	CLIENT2_READY
SMP	106861	1698.69958	0.00000	0.00000	0.00000	1.00000	0	0.00000	0.00000	0.00000	1.00000	0	0.00000	0.00000	0.00000	0.00000	0	0.00000	0.00000	0.00000	0.00000	0	0	0.00000	0	CLIENT2_READY	
SMP	106862	1698.71558	0.00000	0.00000	0.00000	1.00000	0	0.00000	0.00000	0.00000	1.00000	0	0.00000	0.00000	0.00000	0.00000	0	0.00000	0.00000	0.00000	0.00000	0	0	0.00000	0	CLIENT2_READY	
SMP	106863	1698.73157	0.00000	0.00000	0.00000	1.00000	0	0.00000	0.00000	0.00000	1.00000	0	0.00000	0.00000	0.00000	0.00000	0	0.00000	0.00000	0.00000	0.00000	0	0	0.00000	0	CLIENT2_READY	
SMP	106864	1698.74768	0.00000	0.00000	0.00000	1.00000	0	0.00000	0.00000	0.00000	1.00000	0	0.00000	0.00000	0.00000	0.00000	0	0.00000	0.00000	0.00000	0.00000	0	0	0.00000	0	CLIENT2_READY	
SMP	106865	1698.76367	0.00000	0.00000	0.00000	1.00000	0	0.00000	0.00000	0.00000	1.00000	0	0.00000	0.00000	0.00000	0.00000	0	0.00000	0.00000	0.00000	0.00000	0	0	0.00000	0	CLIENT2_READY	
SMP	106866	1698.77966	0.00000	0.00000	0.00000	1.00000	0	0.00000	0.00000	0.00000	1.00000	0	0.00000	0.00000	0.00000	0.00000	0	0.00000	0.00000	0.00000	0.00000	0	0	0.00000	0	CLIENT2_READY	
SMP	106867	1698.79565	0.00000	0.00000	0.00000	1.00000	0	0.00000	0.00000	0.00000	1.00000	0	0.00000	0.00000	0.00000	0.00000	0	0.00000	0.00000	0.00000	0.00000	0	0	0.00000	0	CLIENT2_READY	
SMP	106868	1698.81165	0.00000	0.00000	0.00000	1.00000	0	0.00000	0.00000	0.00000	1.00000	0	0.00000	0.00000	0.00000	0.00000	0	0.00000	0.00000	0.00000	0.00000	0	0	0.00000	0	CLIENT2_READY	
SMP	106869	1698.82764	0.00000	0.00000	0.00000	1.00000	0	0.00000	0.00000	0.00000	1.00000	0	0.00000	0.00000	0.00000	0.00000	0	0.00000	0.00000	0.00000	0.00000	0	0	0.00000	0	CLIENT2_READY	
SMP	106870	1698.84363	0.00000	0.00000	0.00000	1.00000	0	0.00000	0.00000	0.00000	1.00000	0	0.00000	0.00000	0.00000	0.00000	0	0.00000	0.00000	0.00000	0.00000	0	0	0.00000	0	CLIENT2_READY	
SMP	106871	1698.85962	0.00000	0.00000	0.00000	1.00000	0	0.00000	0.00000	0.00000	1.00000	0	0.00000	0.00000	0.00000	0.00000	0	0.00000	0.00000	0.00000	0.00000	0	0	0.00000	0	CLIENT2_READY	
SMP	106872	1698.87573	0.00000	0.00000	0.00000	1.00000	0	0.00000	0.00000	0.00000	1.00000	0	0.00000	0.00000	0.00000	0.00000	0	0.00000	0.00000	0.00000	0.00000	0	0	0.00000	0	CLIENT2_READY	
SMP	106873	1698.89172	0.00000	0.00000	0.00000	1.00000	0	0.00000	0.00000	0.00000	1.00000	0	0.00000	0.00000	0.00000	0.00000	0	0.00000	0.00000	0.00000	0.00000	0	0	0.00000	0	CLIENT2_READY	
SMP	106874	1698.90784	0.00000	0.00000	0.00000	1.00000	0	0.00000	0.00000	0.00000	1.00000	0	0.00000	0.00000	0.00000	0.00000	0	0.00000	0.00000	0.00000	0.00000	0	0	0.00000	0	CLIENT2_READY	
SMP	106875	1698.92371	0.00000	0.00000	0.00000	1.00000	0	0.00000	0.00000	0.00000	1.00000	0	0.00000	0.00000	0.00000	0.00000	0	0.00000	0.00000	0.00000	0.00000	0	0	0.00000	0	CLIENT2_READY	
